sheet_proveedor,partner_id,classification_vendor_id
FABRICAS SELECTAS DEL CENTRO,Fabricas Selectas Del Norte S.A de C.V,
VM FIESTA,VM Fiesta S.A de C.V,
GRANMARK,Granmark S.A De C.V,
DISTRIBUIDORA DE GLOBOS Y ACCESORIOS (DIGLOSA),Distribuidora de Globos y Accesorios,
CORPORACION IMPRESORA,Corporacion Impresora S.A. De C.V.,
PATRICIA MENDIVIL DE LEON,Patricia Mendivil De Leon,
RICARDO NUÑEZ MARTIN DEL CAMPO,Ricardo Nuñez Martin del Campo,
PRODUCTOS NAEN,Productos Naen S. de R.L de C.V,
INFRA,Infra S.A de C.V,
IMPRESOS BOLPAQ,Impresos Bolpaq,
LANCERO,Lancero,
JESUS GILBERTO DURAN LUCERO,Jesus Gilberto Duran Lucero,
PELUCHERA INTERNACIONAL,Pelucheria Internacional,
INFRA ENSENADA,Infra S.A de C.V,
JANEL,Janel S.A de C.V,
SOLUCIONES PIEDRASANTA,SOLUCIONES PIEDRASANTA,
MUNDO DEL LISTON,Mundo del Liston S de RL de CV,
TRANSFORMADORA DE PLASTICOS CARMAN,Transformadora de Plasticos Carman,
JOSE GUADALUPE GARCIA MORALES,Jose Guadalupe Garcia Morales,
RIBBONS & WRAPPING,"Ribbons & Wrapping, S.A DE C.V",
JOKER PARTY SUPPLY,Joker Party Supply,
AVANCE Y TECNOLOGIA EN PLASTICOS C00002085065,Avance y Tecnologia en Plasticos S.A de C.V,
GLOBOS SMITS,Globos Smits,
ALEJANDRO URTAZA RODRIGUEZ,Alejandro Urtaza Rodriguez,
JOSE ALFONSO REYNA REYES,José Alfonso Reyna Reyes,
COMERCIALIZADORA Y DISTRIBUIDORA JUGUETIFIESTA,Comercializadora y Distribuidora Juguetifiesta S.A. de C.V.,
DISTRIBUIDORA DE POLIETILENO ROMA,"Distribuidora de Polietileno Roma, S.A de C.V",
DINORE,Dinore S. de R.L de C.V,
MANUFACTURAS 8A,Manufacturas 8A S.A de C.V,
"PAPEL, DISEÑO Y COLOR","Papel, Diseño y Color S.A de C.V",
PORFIRIO GARRIDO HERNANDEZ,Porfirio Garrido Hernandez,
PROVEEDORA DE NEGOCIOS SARO,Proveedora de Negocios Saro,
RUTH SOLIS VELASCO,RUTH SOLIS VELASCO (politec),
KRUS CORPORATION,Krus Corp Wintime,
